"","actor1_missing_locations"
"204","Military Forces of Nigeria (2015-)"
"205","Mayi Mayi Militia (Kashumba)"
"206","OPCI: Oodua Peoples Congress Initiatives"
"207","Okba Ibn Nafaa Brigade"
"208","Militia (Miners)"
"209","Mayi Mayi Militia (Umoja ni Nguvu)"
"210","Military Forces of Sudan (2019-)"
"211","RRR: Return, Reclamation and Rehabilitation"
"212","Nyatura Militia Group (Kalume)"
"213","Militia (Gen. Indha Adde)"
"214","Mayi Mayi Militia (Mayele)"
"215","Military Forces of Sweden (2019-)"
"216","Military Forces of Chad (1990-2021)"
"217","Mayi Mayi Militia (Raia Mutomboki-Butachibera)"
"218","Black Babies Militia"
"219","Mayi Mayi Militia (Bakata Katanga)"
"220","Qemant Democratic Party"
"221","Nyatura Militia Group (Abazungu)"
"222","Gumayde People's Special Woreda Return Committee"
"223","Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps"
"224","Mayi Mayi Militia (Kujikomboa)"
"225","Mayi Mayi Militia (Malaika-Sheikh Assan) David Faction"
"226","DPP: Democratic Progressive Party"
"227","UTM: United Transformation Movement"
"228","Mayi Mayi Militia (Raia Mutomboki-Lukoba)"
"229","Military Forces of Zambia (2011-2021)"
"230","Mayi Mayi Militia (Rasta)"
"231","FPRC: Popular Front for the Renaissance of Central Africa"
"232","FNLA: National Liberation Front of Angola (Lucas Ngonda faction)"
"233","MPLA: Popular Movement for the Liberation of Angola"
"234","Mayi Mayi Militia (Raia Mutomboki-Walike)"
"235","Military Forces of Israel (2009-2021)"
"236","NDC-R: Nduma Defence of Congo (Renove)"
"237","Military Forces of Uganda (1986-) Local Defense Unit"
"238","CODECO-Gutsi: Cooperative for Development of Congo (Gutsi Assailants)"
"239","Mayi Mayi Militia (Ruma Zela Mbum)"
"240","Police Forces of Kenya (2013-) General Service Unit"
"241","Police Forces of Benin (2016-) Forest Guards"
"242","Central African Sharks Movement"
"243","Mayi Mayi Militia (Raia Mutomboki-Ngandu)"
"244","Mayi Mayi Militia (Yira)"
